unique_id,ds,cutoff,NHITS,NLinear,TiDE,TimeMixer,y
10_BEVERAGES,2017-06-29,2017-06-28,6.7981944,6.8539762,6.8617444,6.7830906,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,6.8846717,6.9171576,6.907229,6.8962555,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,7.2912064,7.1980486,7.2007437,7.216712,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,7.299381,7.157051,7.1690187,7.1722264,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,7.0575194,6.9361596,6.929797,6.9775944,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,7.056578,6.9398913,6.9548264,6.987522,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,7.031844,6.9072123,6.9008093,6.9040365,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,6.9393206,6.869923,6.871769,6.850596,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,6.9924083,6.897027,6.9131494,6.964757,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,7.311033,7.2015524,7.2003846,7.236174,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,7.2928743,7.1733246,7.1800985,7.1864867,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,7.0006313,6.922327,6.9248176,6.9142346,7.243512974665482
10_BEVERAGES,2017-07-11,2017-06-28,6.9239044,6.9406676,6.938808,6.952809,7.074963197966044
10_BEVERAGES,2017-07-12,2017-06-28,6.880951,6.9088964,6.9047756,6.9404774,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,6.8501005,6.8778925,6.875692,6.861807,7.111512116496157
10_BEVERAGES,2017-07-14,2017-06-28,6.927928,6.922372,6.919933,6.9493723,7.01301578963963
10_BEVERAGES,2017-07-15,2017-07-14,7.442667,7.360886,7.3697934,7.304925,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,7.3091755,7.2577186,7.2557154,7.1335764,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,7.1673546,7.152769,7.145424,7.0454345,7.1808311990445555
