unique_id,ds,cutoff,NHITS,NLinear,TiDE,TimeMixer,y
10_BEVERAGES,2017-06-29,2017-06-28,6.8183417,6.8633986,6.853511,6.8023033,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,6.9033117,6.9544425,6.881526,6.926538,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,7.2739244,7.1846614,7.1912494,7.201335,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,7.2683887,7.1532063,7.195756,7.164158,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,7.0358553,7.004045,6.978346,6.9940176,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,7.033643,6.9459968,6.9884796,7.0128784,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,7.018827,6.929333,6.881808,6.8843346,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,6.947106,6.8898387,6.879503,6.870156,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,7.008612,6.916151,6.9396954,7.0206094,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,7.308519,7.2051682,7.185089,7.241009,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,7.283373,7.16331,7.1836076,7.2194357,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,7.014663,6.965726,6.969632,6.949467,7.243512974665482
10_BEVERAGES,2017-07-11,2017-06-28,6.9452915,6.9586883,6.941775,6.9798555,7.074963197966044
10_BEVERAGES,2017-07-12,2017-06-28,6.9114895,6.920872,6.8920107,6.958979,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,6.8725986,6.8944855,6.864154,6.867376,7.111512116496157
10_BEVERAGES,2017-07-14,2017-06-28,6.955232,6.925028,6.909201,7.0042524,7.01301578963963
10_BEVERAGES,2017-07-15,2017-07-14,7.4390044,7.311733,7.3659043,7.34847,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,7.3286896,7.261112,7.2847037,7.227925,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,7.141807,7.1569133,7.1390414,7.0925617,7.1808311990445555
10_BEVERAGES,2017-07-18,2017-07-14,7.053757,7.07751,7.0744247,7.0472174,7.102499355774649
10_BEVERAGES,2017-07-19,2017-07-14,7.0196657,6.991272,7.011745,6.9544506,6.86484777797086
10_BEVERAGES,2017-07-20,2017-07-14,6.9589043,6.98548,6.9171033,6.921957,7.195937226475569
10_BEVERAGES,2017-07-21,2017-07-14,7.0493865,7.063941,7.073802,7.086449,7.014814351275545
10_BEVERAGES,2017-07-22,2017-07-14,7.3901443,7.335679,7.332904,7.2952523,7.145196134997171
10_BEVERAGES,2017-07-23,2017-07-14,7.2714124,7.2561955,7.2632594,7.2165847,7.145196134997171
10_BEVERAGES,2017-07-24,2017-07-14,7.0993767,7.0877914,7.104839,7.0813394,7.160069207596127
10_BEVERAGES,2017-07-25,2017-07-14,7.003825,7.059598,7.0319214,7.0156784,7.171656822768514
10_BEVERAGES,2017-07-26,2017-07-14,6.976987,6.9804764,7.0169992,7.000639,6.687108607866515
10_BEVERAGES,2017-07-27,2017-07-14,6.9624805,6.9099007,6.9683614,6.972224,6.866933284461882
10_BEVERAGES,2017-07-28,2017-07-14,7.060973,7.0534,7.076213,7.080131,7.387090235656757
10_BEVERAGES,2017-07-29,2017-07-14,7.416696,7.316964,7.2998085,7.3246408,7.443663683115591
10_BEVERAGES,2017-07-30,2017-07-14,7.308155,7.251109,7.242965,7.2651997,7.356918242356021
10_BEVERAGES,2017-07-31,2017-07-30,7.211756,7.238321,7.2282386,7.2635827,7.166265974133638
10_BEVERAGES,2017-08-01,2017-07-30,7.1294794,7.0853767,7.1034265,7.2001724,7.519692404116539
10_BEVERAGES,2017-08-02,2017-07-30,7.0726085,6.9277053,7.01515,7.1812596,7.1316985104669115
10_BEVERAGES,2017-08-03,2017-07-30,7.010056,6.970528,6.9883943,7.141259,7.358830898342354
