unique_id,ds,cutoff,NHITS,NLinear,TiDE,TimeMixer,y
10_BEVERAGES,2017-06-29,2017-06-28,6.8254538,7.0241504,6.90051,6.833988,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,6.91004,7.155989,7.034589,6.9409842,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,7.265416,7.0611053,7.1272936,7.18944,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,7.2520714,7.0671463,7.26421,7.1630797,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,7.020969,7.158624,7.059249,6.9803853,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,7.0196843,6.9181876,7.058904,7.0369496,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,6.9984164,7.0034766,6.9687805,6.8870683,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,6.942572,7.082168,6.9837794,6.8882904,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,7.0186977,7.1203966,6.9883966,7.058109,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,7.324378,7.084971,7.164488,7.2153063,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,7.286701,7.0691457,7.1450033,7.231305,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,7.017607,6.9751825,7.0389915,6.9543757,7.243512974665482
10_BEVERAGES,2017-07-11,2017-06-28,6.9578633,6.9068894,6.954901,6.9974566,7.074963197966044
10_BEVERAGES,2017-07-12,2017-06-28,6.913647,7.022877,6.826871,6.9941025,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,6.8724527,6.9901767,6.8009853,6.8948793,7.111512116496157
10_BEVERAGES,2017-07-14,2017-06-28,6.9563117,6.9991145,7.012639,7.042865,7.01301578963963
10_BEVERAGES,2017-07-15,2017-07-14,7.432806,7.086187,7.2810755,7.2339544,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,7.3171706,7.156476,7.15659,7.1183786,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,7.125648,7.202248,7.137783,6.975635,7.1808311990445555
10_BEVERAGES,2017-07-18,2017-07-14,7.047079,7.1391935,7.062552,6.9609475,7.102499355774649
10_BEVERAGES,2017-07-19,2017-07-14,7.017676,7.0050583,6.993737,6.8563795,6.86484777797086
10_BEVERAGES,2017-07-20,2017-07-14,6.940839,7.0780053,6.8610334,6.8310585,7.195937226475569
10_BEVERAGES,2017-07-21,2017-07-14,7.0408864,6.969815,7.068739,7.0059175,7.014814351275545
10_BEVERAGES,2017-07-22,2017-07-14,7.3910956,7.14586,7.1812286,7.16919,7.145196134997171
10_BEVERAGES,2017-07-23,2017-07-14,7.262304,7.128284,7.2332582,7.1384983,7.145196134997171
10_BEVERAGES,2017-07-24,2017-07-14,7.081854,7.0433335,7.0661497,7.0046177,7.160069207596127
10_BEVERAGES,2017-07-25,2017-07-14,6.9982405,7.126589,6.9337573,6.8897796,7.171656822768514
10_BEVERAGES,2017-07-26,2017-07-14,6.977846,7.0142617,7.0794263,6.8659286,6.687108607866515
10_BEVERAGES,2017-07-27,2017-07-14,6.9541965,6.9251146,7.1022744,6.894888,6.866933284461882
