unique_id,ds,cutoff,FEDformer,Autoformer,PatchTST,iTransformer,Informer,VanillaTransformer,y
10_BEVERAGES,2017-06-29,2017-06-28,,6.9072943,6.862256,6.814096,6.877513,6.8499775,6.511745329644728
10_BEVERAGES,2017-06-30,2017-06-28,,6.9556804,6.959751,6.8388844,6.890294,6.976103,7.175489713624222
10_BEVERAGES,2017-07-01,2017-06-28,,7.215261,7.2960987,7.3052197,7.2141056,7.2540298,7.53689712956617
10_BEVERAGES,2017-07-02,2017-06-28,,7.2940507,7.267019,7.1949797,7.1248417,7.2868314,7.2682230211595655
10_BEVERAGES,2017-07-03,2017-06-28,,7.0796165,7.031525,7.0040784,6.9860888,7.070527,7.234177179749849
10_BEVERAGES,2017-07-04,2017-06-28,,7.0046563,7.02951,7.0230737,6.973206,6.968479,6.974478911025045
10_BEVERAGES,2017-07-05,2017-06-28,,6.9324775,7.0199633,6.9238915,6.9734626,6.9211407,7.0707241072602764
10_BEVERAGES,2017-07-06,2017-06-28,,6.865608,6.946336,6.805352,6.973679,6.8951597,6.863803391452954
10_BEVERAGES,2017-07-07,2017-06-28,,6.9837356,6.9917593,6.847075,6.965037,7.005005,6.946013991099227
10_BEVERAGES,2017-07-08,2017-06-28,,7.3448873,7.3025804,7.218025,7.18227,7.284082,7.496097345175956
10_BEVERAGES,2017-07-09,2017-06-28,,7.248683,7.2561126,7.0848727,7.1761994,7.317813,7.226209010100671
10_BEVERAGES,2017-07-10,2017-06-28,,7.0166,6.9847045,6.794548,7.062818,7.0645237,7.243512974665481
10_BEVERAGES,2017-07-11,2017-06-28,,6.9687605,6.9619546,6.8729053,7.008836,6.97082,7.074963197966043
10_BEVERAGES,2017-07-12,2017-06-28,,6.9474783,6.9163685,6.788114,7.0113125,6.925159,7.180069874302796
10_BEVERAGES,2017-07-13,2017-06-28,,6.8542504,6.884873,6.802317,6.9542966,6.8996096,7.111512116496156
10_BEVERAGES,2017-07-14,2017-06-28,,7.0616107,6.955297,6.884551,6.9725475,7.0056295,7.0130157896396295
10_BEVERAGES,2017-07-15,2017-07-14,,7.2378755,7.3984175,7.2855425,7.338293,7.3477826,7.310550158534422
10_BEVERAGES,2017-07-16,2017-07-14,,7.207126,7.3089776,7.1616344,7.3098407,7.2831364,7.430114138561801
10_BEVERAGES,2017-07-17,2017-07-14,,7.0558434,7.1154203,7.053506,6.995257,7.0965977,7.1808311990445555
10_BEVERAGES,2017-07-18,2017-07-14,,7.0130067,7.023405,6.9164042,7.0036592,7.0265317,7.102499355774649
10_BEVERAGES,2017-07-19,2017-07-14,,6.96874,6.98423,6.8876467,7.0697975,6.9780445,6.86484777797086
10_BEVERAGES,2017-07-20,2017-07-14,,6.8908772,6.9145255,6.792709,6.998757,6.93488,7.195937226475569
10_BEVERAGES,2017-07-21,2017-07-14,,7.000871,7.0107107,6.834169,7.158249,7.130287,7.014814351275545
10_BEVERAGES,2017-07-22,2017-07-14,,7.3809853,7.341983,7.2155647,7.265633,7.359567,7.145196134997171
10_BEVERAGES,2017-07-23,2017-07-14,,7.2319226,7.22732,7.183589,7.271195,7.2642646,7.145196134997171
10_BEVERAGES,2017-07-24,2017-07-14,,7.0489607,7.0505514,6.99163,7.1286554,7.0735226,7.160069207596126
10_BEVERAGES,2017-07-25,2017-07-14,,7.0005407,6.9788237,6.832032,7.016621,7.0109706,7.171656822768514
10_BEVERAGES,2017-07-26,2017-07-14,,6.9813814,6.9354296,6.798175,7.1314135,6.9586754,6.687108607866514
10_BEVERAGES,2017-07-27,2017-07-14,,6.9490023,6.8935423,6.789323,7.0601015,6.9114337,6.866933284461882
10_BEVERAGES,2017-07-28,2017-07-14,,6.994958,7.013104,6.9174795,7.1309786,7.1094456,7.387090235656757
10_BEVERAGES,2017-07-29,2017-07-14,,7.197885,7.357382,7.198299,7.196888,7.340945,7.443663683115591
10_BEVERAGES,2017-07-30,2017-07-14,,7.255672,7.265222,7.182895,7.2632704,7.1744866,7.356918242356021
10_BEVERAGES,2017-07-31,2017-07-30,,7.3096967,7.223701,7.295293,7.154136,7.1554503,7.166265974133638
10_BEVERAGES,2017-08-01,2017-07-30,,7.1745563,7.1328716,7.1266894,7.0962377,7.074965,7.5196924041165385
10_BEVERAGES,2017-08-02,2017-07-30,,7.119812,7.060257,7.1118426,7.0594254,7.036723,7.131698510466911
10_BEVERAGES,2017-08-03,2017-07-30,,7.1241283,7.0665545,7.0384507,7.0906205,6.9980826,7.358830898342354
10_BEVERAGES,2017-08-04,2017-07-30,,7.110086,7.1356587,7.1429224,7.1670923,7.0507126,7.413970290190444
10_BEVERAGES,2017-08-05,2017-07-30,,7.2133527,7.3580036,7.374595,7.253858,7.337365,7.506591780070841
10_BEVERAGES,2017-08-06,2017-07-30,,7.276011,7.3058043,7.208047,7.1939716,7.317505,7.421775793644647
10_BEVERAGES,2017-08-07,2017-07-30,,7.2208004,7.170234,7.1245584,7.1745744,7.118578,7.239932591320469
10_BEVERAGES,2017-08-08,2017-07-30,,7.1554246,7.100116,7.097377,7.090541,7.071784,7.3727463664043285
10_BEVERAGES,2017-08-09,2017-07-30,,7.0664544,7.048707,7.086556,7.0907216,7.0282946,7.080867896690782
10_BEVERAGES,2017-08-10,2017-07-30,,7.0559406,7.0574193,7.0726037,7.099963,7.0007324,7.424761761823208
10_BEVERAGES,2017-08-11,2017-07-30,,7.163413,7.164337,7.134849,7.1693845,7.0756555,7.286191714702382
10_BEVERAGES,2017-08-12,2017-07-30,,7.2740116,7.387478,7.4079957,7.414213,7.3881407,7.195187320178708
10_BEVERAGES,2017-08-13,2017-07-30,,7.3063354,7.35009,7.29327,7.214547,7.3763227,7.3310603052186325
10_BEVERAGES,2017-08-14,2017-07-30,,7.2474885,7.225734,7.245741,7.2045774,7.1375194,7.029972911706386
10_BEVERAGES,2017-08-15,2017-07-30,,7.2364855,7.119627,7.193637,7.1776967,7.0895457,7.383368146992383
